Year,NOC,Country Name,Total Athletes,Medal Count,Gold Count,Silver Count,Bronze Count,Average Age (M),Average Height (M),Average Weight (M),Average Age (F),Average Height (F),Average Weight (F)
2024,BAN,Bangladesh,5,,,,,23.5,170.0,,25.0,,
2024,CAM,Cambodia,3,,,,,24.5,170.0,,23.0,,
2024,AFG,Afghanistan,6,,,,,26.666666666666668,179.0,,24.333333333333332,163.0,
2024,LES,Lesotho,3,,,,,28.0,,,28.0,,
2024,ISR,Israel,88,6.0,1.0,4.0,1.0,24.818181818181817,178.79166666666666,,23.87878787878788,156.5,
2024,SWZ,Eswatini,3,,,,,27.0,182.0,,16.0,,
2024,GBR,Great Britain,331,64.0,14.0,21.0,29.0,28.133757961783438,184.8139534883721,,27.114942528735632,169.41379310344828,68.85714285714286
2024,TKM,Turkmenistan,6,,,,,21.666666666666668,,,25.666666666666668,160.0,
2024,SWE,Sweden,120,11.0,4.0,4.0,3.0,29.491525423728813,187.5,,27.327868852459016,175.62962962962962,
2024,UKR,Ukraine,140,12.0,3.0,5.0,4.0,25.91549295774648,182.6969696969697,,27.333333333333332,173.61904761904762,
2024,VIE,Vietnam,16,,,,,25.75,180.0,,25.75,168.0,
2024,MOZ,Mozambique,7,,,,,21.0,175.0,,27.25,168.0,
2024,TPE,Chinese Taipei,60,7.0,2.0,0.0,5.0,26.73076923076923,177.72727272727272,,28.58823529411765,171.15384615384616,
2024,ITA,Italy,388,38.0,12.0,13.0,13.0,27.154228855721392,187.4878048780488,,26.657754010695186,172.85526315789474,
2024,MLI,Mali,24,,,,,22.59090909090909,181.8421052631579,,24.0,171.0,
2024,GEO,Georgia,28,7.0,3.0,3.0,1.0,27.19047619047619,184.0,,28.428571428571427,167.0,
2024,ESP,Spain,395,18.0,5.0,4.0,9.0,27.705583756345177,186.04761904761904,,27.050505050505052,171.045871559633,
2024,KOS,Kosovo,9,2.0,0.0,1.0,1.0,25.0,,,26.0,164.5,
2024,FIJ,Fiji,36,1.0,0.0,1.0,0.0,26.36842105263158,183.0,88.85714285714286,25.823529411764707,168.75,69.66666666666667
2024,NAM,Namibia,4,,,,,25.0,,,37.5,165.0,
2024,CRC,Costa Rica,6,,,,,25.0,175.0,,26.0,,
2024,UGA,Uganda,25,2.0,1.0,1.0,0.0,25.0,173.85714285714286,,27.153846153846153,164.0909090909091,
2024,ERI,Eritrea,11,,,,,25.0,173.33333333333334,,21.666666666666668,164.0,
2024,ALB,Albania,8,2.0,0.0,0.0,2.0,26.0,193.0,,33.666666666666664,161.0,
2024,BUL,Bulgaria,46,6.0,3.0,0.0,3.0,25.38095238095238,176.5,,25.36,171.77777777777777,
2024,MRI,Mauritius,12,,,,,26.714285714285715,180.0,,27.0,165.0,
2024,BUR,Burkina Faso,8,,,,,25.8,180.0,,24.333333333333332,182.0,
2024,FSM,Micronesia,3,,,,,29.5,174.0,,21.0,,
2024,MDA,Republic of Moldova,26,4.0,0.0,1.0,3.0,26.071428571428573,194.5,,26.75,176.33333333333334,
2024,GRN,Grenada,6,2.0,0.0,0.0,2.0,27.5,187.0,,21.0,168.0,
2024,BAR,Barbados,4,,,,,28.0,,,26.5,165.5,
2024,SEY,Seychelles,3,,,,,26.0,180.0,,19.0,,
2024,MON,Monaco,6,,,,,24.333333333333332,,,28.666666666666668,167.0,
2024,CYP,Cyprus,15,1.0,0.0,1.0,0.0,28.666666666666668,188.0,,25.666666666666668,170.5,
2024,KAZ,Kazakhstan,79,7.0,1.0,3.0,3.0,26.85185185185185,183.07692307692307,,25.92,171.9,
2024,ANT,Antigua and Barbuda,5,,,,,24.333333333333332,176.0,,19.0,172.0,
2024,CHI,Chile,48,2.0,1.0,1.0,0.0,27.266666666666666,187.69230769230768,,31.61111111111111,176.33333333333334,
2024,NIG,Niger,7,,,,,22.8,,,22.5,177.0,
2024,MDV,Maldives,5,,,,,21.0,170.0,,21.333333333333332,164.0,
2024,LIE,Liechtenstein,1,,,,,20.0,,,,,
2024,CHA,Chad,3,,,,,34.5,171.0,,30.0,,
2024,AUT,Austria,82,5.0,2.0,0.0,3.0,30.2,185.7,,29.0,167.42857142857142,
2024,PER,Peru,26,1.0,0.0,0.0,1.0,28.555555555555557,165.66666666666666,,27.058823529411764,160.42857142857142,
2024,SEN,Senegal,11,,,,,27.428571428571427,186.5,,27.0,183.0,
2024,QAT,Qatar,13,1.0,0.0,0.0,1.0,28.916666666666668,187.25,,21.0,174.0,
2024,BRA,Brazil,284,20.0,3.0,7.0,10.0,28.368852459016395,189.91525423728814,,27.679012345679013,172.55670103092783,64.71428571428571
2024,NGR,Nigeria,86,,,,,24.608695652173914,184.6315789473684,,25.841269841269842,174.0408163265306,
2024,BOL,Bolivia,4,,,,,28.0,160.0,,25.5,165.0,
2024,BIZ,Belize,1,,,,,31.0,175.0,,,,
2024,EGY,Egypt,153,3.0,1.0,1.0,1.0,26.980392156862745,186.8490566037736,,22.90566037735849,176.4,
2024,PAK,Pakistan,7,1.0,1.0,0.0,0.0,26.75,190.0,,22.333333333333332,163.0,
2024,TUR,Türkiye,100,8.0,0.0,3.0,5.0,27.382978723404257,181.16666666666666,,25.69811320754717,178.29166666666666,
2024,POL,Poland,218,10.0,1.0,4.0,5.0,28.06122448979592,191.48936170212767,,27.783333333333335,173.94545454545454,
2024,CZE,Czechia,111,5.0,3.0,0.0,2.0,28.516129032258064,186.96153846153845,,25.46938775510204,173.0909090909091,
2024,CPV,Cabo Verde,7,1.0,0.0,0.0,1.0,26.75,171.5,,28.0,178.0,
2024,GBS,Guinea-Bissau,6,,,,,29.5,175.0,,,,
